MUNCODMUN;"MUNNOMMUN";CALCODCAL;"CALCODSIG";"CALNOMCAL";"CALNOMCOR"
270;"DESCONOCIDO                                       ";0;"     ";"                                                  ";"                         "
44;"OVIEDO                                            ";3301;"LUGAR";"ABEDUL                                            ";"ABEDUL                   "
44;"OVIEDO                                            ";1;"CALLE";"ABEDULES LOS                                      ";"ABEDULES LOS             "
44;"OVIEDO                                            ";4136;"PLAZA";"ABOGADO DE OFICIO                                 ";"ABOGADO DE OFICIO        "
44;"OVIEDO                                            ";1801;"LUGAR";"ABULI                                             ";"ABULI                    "
44;"OVIEDO                                            ";4089;"CALLE";"ABUNDIO GASCON                                    ";"ABUNDIO GASCON           "
44;"OVIEDO                                            ";4135;"PLAZA";"ACADEMIA OJANGUREN                                ";"ACADEMIA OJANGUREN       "
44;"OVIEDO                                            ";2;"CALLE";"ACEBOS LOS                                        ";"ACEBOS LOS               "
44;"OVIEDO                                            ";3;"CALLE";"ACISCLO MUÑIZ VIGO                                ";"ACISCLO MUÑIZ VIGO       "
44;"OVIEDO                                            ";4;"CALLE";"ADELANTADO DE LA FLORIDA                          ";"ADELANTADO DE LA FLORIDA "
44;"OVIEDO                                            ";5;"CALLE";"ADOLFO ALVAREZ FOLGUERAS                          ";"ADOLFO ALVAREZ FOLGUERAS "
44;"OVIEDO                                            ";4048;"PLAZA";"ADOLFO BARTHE AZA                                 ";"ADOLFO BARTHE AZA        "
44;"OVIEDO                                            ";6;"CALLE";"ADOLFO POSADA                                     ";"ADOLFO POSADA            "
44;"OVIEDO                                            ";747;"CALLE";"AGUAMIERA                                         ";"AGUAMIERA                "
44;"OVIEDO                                            ";7;"CALLE";"AGUILA                                            ";"AGUILA                   "
44;"OVIEDO                                            ";646;"PASEO";"AIDA LAFUENTE                                     ";"AIDA LAFUENTE            "
44;"OVIEDO                                            ";3401;"LUGAR";"AJUYAN                                            ";"AJUYAN                   "
44;"OVIEDO                                            ";774;"PLAZA";"ALAMEDA DE LA                                     ";"ALAMEDA DE LA            "
44;"OVIEDO                                            ";8;"PASEO";"ALAMOS DE LOS                                     ";"ALAMOS DE LOS            "
44;"OVIEDO                                            ";9;"CALLE";"ALBENIZ                                           ";"ALBENIZ                  "
44;"OVIEDO                                            ";531;"CALLE";"ALCALDE LOPEZ MULERO                              ";"ALCALDE LOPEZ MULERO     "
44;"OVIEDO                                            ";11;"CALLE";"ALCALDE MANUEL ALVAREZ-BUYLLA                     ";"A. MANUEL ALVAREZ-BUYLLA "
44;"OVIEDO                                            ";12;"CALLE";"ALEJANDRO CASONA                                  ";"ALEJANDRO CASONA         "
44;"OVIEDO                                            ";610;"AVDA ";"ALEMANIA DE                                       ";"ALEMANIA DE              "
44;"OVIEDO                                            ";440;"PLAZA";"ALFONSO CAMIN                                     ";"ALFONSO CAMIN            "
44;"OVIEDO                                            ";604;"TRVA ";"ALFONSO I EL CATOLICO                             ";"ALFONSO I EL CATOLICO    "
44;"OVIEDO                                            ";14;"CALLE";"ALFONSO I EL CATOLICO                             ";"ALFONSO I EL CATOLICO    "
44;"OVIEDO                                            ";566;"CALLE";"ALFONSO IGLESIAS                                  ";"ALFONSO IGLESIAS         "
44;"OVIEDO                                            ";15;"PLAZA";"ALFONSO II EL CASTO                               ";"ALFONSO II EL CASTO      "
44;"OVIEDO                                            ";16;"CALLE";"ALFONSO III EL MAGNO                              ";"ALFONSO III EL MAGNO     "
44;"OVIEDO                                            ";556;"CALLE";"ALFONSO MUÑOZ DE DIEGO                            ";"ALFONSO MUÑOZ DE DIEGO   "
44;"OVIEDO                                            ";631;"CALLE";"ALFREDO BLANCO                                    ";"ALFREDO BLANCO           "
44;"OVIEDO                                            ";4158;"CALLE";"ALFREDO DE LA ROZA CAMPO                          ";"ALFREDO DE LA ROZA CAMPO "
44;"OVIEDO                                            ";4025;"CALLE";"ALLER                                             ";"ALLER                    "
44;"OVIEDO                                            ";17;"CALLE";"ALMACENES INDUSTRIALES                            ";"ALMACENES INDUSTRIALES   "
44;"OVIEDO                                            ";638;"URB  ";"ALONDRAS LAS (OLIVARES)                           ";"ALONDRAS LAS (OLIVARES)  "
